id,title,vote_average,vote_count,release_date,runtime,original_language,overview,popularity,poster_path,genres,production_companies,production_countries,spoken_languages,platform,clean_title
50872,Ratatouille,7.809,15728,2007-06-28,111,English,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",82.488,/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,"Animation, Comedy, Family, Fantasy","pixar, walt disney pictures",United States of America,"English, French",Disney Plus,ratatouille
106696,Frozen,7.2,15520,2013-11-20,102,English,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",85.794,/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg,"Animation, Family, Adventure, Fantasy","walt disney pictures, walt disney animation studios",United States of America,English,Disney Plus,frozen
152081,Zootopia,7.748,15230,2016-02-11,109,English,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",98.11,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,"Animation, Adventure, Family, Comedy","walt disney animation studios, walt disney pictures",United States of America,English,Disney Plus,zootopia
111360,Lucy,6.44,15181,2014-07-25,89,English,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",33.913,/dhjyfcwEoW6jJ4Q7DpZTp6E58GA.jpg,"Action, Science Fiction","europacorp, canal+, ciné+, tf1 films production",France,"Mandarin, English, French, Spanish, Korean",Prime Video,lucy
168366,Beauty and the Beast,6.967,14871,2017-03-16,129,English,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,56.226,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,"Family, Fantasy, Romance","walt disney pictures, mandeville films",United States of America,"English, French",Prime Video,beauty and the beast
115617,Big Hero 6,7.738,14732,2014-10-24,102,English,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",98.41,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,"Adventure, Family, Animation, Action, Comedy","walt disney pictures, walt disney animation studios",United States of America,English,Disney Plus,big hero 6
5989,Catch Me If You Can,7.971,14393,2002-12-16,141,English,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",44.814,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,"Drama, Crime","parkes/macdonald productions, kemp company, splendid pictures",United States of America,"English, French",Netflix,catch me if you can
30793,Charlie and the Chocolate Factory,7.04,13967,2005-07-13,115,English,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",60.854,/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,"Adventure, Comedy, Family, Fantasy","the zanuck company, theobald film productions, plan b entertainment","United Kingdom, United States of America",English,Netflix,charlie and the chocolate factory
78499,Toy Story 3,7.792,13777,2010-06-16,103,English,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",69.145,/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,"Animation, Family, Comedy","pixar, walt disney pictures",United States of America,"English, Spanish",Disney Plus,toy story 3
44191,V for Vendetta,7.897,13556,2006-02-23,132,English,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",42.174,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,"Action, Thriller, Science Fiction","studio babelsberg, virtual studios, anarchos productions, silver pictures, fünfte babelsberg film, warner bros. pictures, dc comics, medienboard berlin-brandenburg","Germany, United Kingdom, United States of America",English,Netflix,v for vendetta
106920,Her,7.862,13407,2013-12-18,126,English,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",37.608,/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg,"Romance, Science Fiction, Drama","annapurna pictures, warner bros. pictures, stage 6 films",United States of America,English,Netflix,her
128360,The Hateful Eight,7.746,13291,2015-12-25,188,English,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,32.119,/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg,"Drama, Mystery, Western","the weinstein company, double feature films, filmcolony",United States of America,"Spanish, English",Netflix,the hateful eight
73017,Sherlock Holmes,7.202,13170,2009-12-23,129,English,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,35.808,/momkKuWburNTqKBF6ez7rvhYVhE.jpg,"Action, Adventure, Crime, Mystery","warner bros. pictures, village roadshow pictures, silver pictures, wigram productions, internationale filmproduktion blackbird dritte","Australia, Germany, United Kingdom, United States of America","English, French",Netflix,sherlock holmes
80748,Alice in Wonderland,6.627,13149,2010-03-03,108,English,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",56.345,/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg,"Family, Fantasy, Adventure","walt disney pictures, roth films, team todd, tim burton productions, the zanuck company",United States of America,English,Prime Video,alice in wonderland
45517,Cars,6.936,12906,2006-06-08,117,English,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",47.447,/abW5AzHDaIK1n9C36VdAeOwORRA.jpg,"Animation, Adventure, Comedy, Family","pixar, walt disney pictures",United States of America,"English, Italian, Japanese, Yiddish",Disney Plus,cars
3114,Toy Story 2,7.589,12904,1999-10-30,92,English,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",73.516,/2MFIhZAW0CVlEQrFyqwa4U6zqJP.jpg,"Animation, Comedy, Family",pixar,United States of America,English,Disney Plus,toy story 2
63992,Twilight,6.286,12638,2008-11-20,122,English,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.",71.541,/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg,"Fantasy, Drama, Romance","summit entertainment, temple hill entertainment, maverick films, imprint entertainment, goldcrest, twilight productions",United States of America,English,Netflix,twilight
95167,Brave,7.012,12591,2012-06-21,93,English,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",58.647,/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg,"Animation, Adventure, Comedy, Family, Action, Fantasy","walt disney pictures, pixar",United States of America,English,Disney Plus,brave
111659,Maleficent,7.09,12477,2014-05-28,97,English,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",51.055,/bDG3yei6AJlEAK3A5wN7RwFXQ7V.jpg,"Fantasy, Adventure, Action, Family, Romance","walt disney pictures, roth films",United States of America,English,Disney Plus,maleficent
115713,Ex Machina,7.572,12362,2015-01-21,108,English,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",26.767,/dmJW8IAKHKxFNiUnoDR7JfsK7Rp.jpg,"Drama, Science Fiction","dna films, film4 productions, iac films, scott rudin productions","United Kingdom, United States of America",English,Netflix,ex machina
187541,Incredibles 2,7.481,12061,2018-06-14,118,English,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",49.215,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,"Action, Adventure, Animation, Family","walt disney pictures, pixar",United States of America,English,Disney Plus,incredibles 2
1213,GoodFellas,8.464,11726,1990-09-12,145,English,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",83.57,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,"Drama, Crime",winkler films,United States of America,"Italian, English",Netflix,goodfellas
88129,Drive,7.572,11718,2011-09-15,100,English,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",38.238,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,"Drama, Thriller, Crime","filmdistrict, bold films, marc platt productions, oddlot entertainment, motel movies, newbridge film capital",United States of America,English,Netflix,drive
166461,Moana,7.6,11502,2016-10-13,107,English,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",17.963,/vNJFiwtsl7Twww7C0uM4qPnygNw.jpg,"Adventure, Comedy, Family, Animation","walt disney pictures, walt disney animation studios, hurwitz creative",United States of America,English,Disney Plus,moana
71535,Zombieland,7.3,11466,2009-10-07,88,English,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",32.08,/dUkAmAyPVqubSBNRjRqCgHggZcK.jpg,"Comedy, Horror","pariah, columbia pictures, relativity media",United States of America,English,Netflix,zombieland
157296,Finding Dory,7.042,11429,2016-06-16,97,English,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,26.562,/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg,"Adventure, Animation, Comedy, Family","pixar, walt disney pictures",United States of America,English,Disney Plus,finding dory
97921,Silver Linings Playbook,7.13,11327,2012-11-16,122,English,"After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",28.014,/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg,"Drama, Comedy, Romance",the weinstein company,United States of America,English,Netflix,silver linings playbook
72378,2012,5.819,11300,2009-10-10,158,English,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",51.914,/zaqam2RNscH5ooYFWInV6hjx6y5.jpg,"Action, Adventure, Science Fiction","columbia pictures, centropolis entertainment, farewell productions, the mark gordon company",United States of America,"Tibetan, German, Russian, French, Mandarin, Latin, Portuguese, Spanish, Italian, Hindi, English",Netflix,2012
2858,American Beauty,8.0,11260,1999-09-15,122,English,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",29.837,/wby9315QzVKdW9BonAefg8jGTTb.jpg,Drama,"jinks/cohen company, dreamworks pictures",United States of America,English,Netflix,american beauty
94864,Prometheus,6.535,11255,2012-05-30,124,English,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",60.299,/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,"Science Fiction, Adventure, Mystery","dune entertainment, scott free productions, brandywine productions, 20th century fox","United Kingdom, United States of America","Gaelic, English",Prime Video,prometheus
111,Taxi Driver,8.2,11081,1976-02-09,114,English,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,41.36,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"Crime, Drama","italo/judeo productions, bill/phillips, columbia pictures",United States of America,"English, Spanish",Netflix,taxi driver
2329,American History X,8.352,10729,1998-07-01,119,English,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",36.427,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,Drama,"new line cinema, savoy pictures, the turman-morrissey company",United States of America,English,Netflix,american history x
111921,The Fault in Our Stars,7.598,10655,2014-05-16,126,English,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",30.209,/ep7dF4QR4Mm39LI958V0XbwE0hK.jpg,"Romance, Drama","tsg entertainment, fox 2000 pictures, temple hill entertainment",United States of America,English,Disney Plus,the fault in our stars
81847,Tangled,7.599,10539,2010-11-24,100,English,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",84.14,/ym7Kst6a4uodryxqbGOxmewF235.jpg,"Animation, Family","walt disney animation studios, walt disney pictures",United States of America,English,Disney Plus,tangled
59784,Kung Fu Panda,7.24,10503,2008-06-04,90,English,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",52.866,/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,"Action, Adventure, Animation, Family, Comedy","dreamworks animation, paramount",United States of America,English,Netflix,kung fu panda
59369,Taken,7.387,10432,2008-02-18,94,English,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",58.646,/y5Va1WXDX6nZElVirPrGxf6w99B.jpg,"Action, Thriller","wintergreen productions, europacorp, m6 films, grive productions, tps star, m6, all pictures media, 20th century fox, canal+","France, United States of America","English, French, Arabic, Albanian",Netflix,taken
1036,Die Hard,7.775,10202,1988-07-15,131,English,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",36.754,/yFihWxQcmqcaBR31QM6Y8gT6aYV.jpg,"Action, Thriller","gordon company, silver pictures, 20th century fox",United States of America,"English, German, Italian",Prime Video,die hard
586,Home Alone,7.412,10140,1990-11-16,103,English,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before Christmas Day.",1.826,/9wSbe4CwObACCQvaUVhWQyLR5Vz.jpg,"Comedy, Family","hughes entertainment, 20th century fox",United States of America,"English, French",Disney Plus,home alone
117176,The Theory of Everything,7.86,10069,2014-11-26,123,English,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",20.867,/wucOQrqihOtHToP7UAPKMFRJ9LL.jpg,"Drama, Romance",working title films,United Kingdom,"Latin, English, French, Italian",Netflix,the theory of everything
115569,Nightcrawler,7.703,10032,2014-10-23,118,English,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",44.274,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,"Crime, Drama, Thriller","sierra/affinity, bold films",United States of America,English,Netflix,nightcrawler
64614,Gran Torino,7.994,10003,2008-12-12,116,English,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",35.849,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,Drama,"matten productions, double nickel entertainment, gerber pictures, malpaso productions, village roadshow pictures, wv films iv, warner bros. pictures","United States of America, Germany",English,Netflix,gran torino
49272,Casino Royale,7.543,9959,2006-11-14,144,English,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",43.407,/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,"Adventure, Action, Thriller","eon productions, stillking films, columbia pictures, studio babelsberg, danjaq, casino royale productions, metro-goldwyn-mayer","Czech Republic, Germany, United Kingdom, United States of America","English, French",Netflix,casino royale
103141,Monsters University,7.0,9903,2013-06-19,104,English,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,44.116,/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg,"Animation, Family","pixar, walt disney pictures",United States of America,English,Disney Plus,monsters university
84152,Limitless,7.186,9900,2011-03-08,105,English,"A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film.",33.384,/hv5JMCrMVLvV6HKPf9FcBuyk2MG.jpg,"Thriller, Mystery, Science Fiction","relativity media, virgin produced, many rivers productions, boy of the year, rogue pictures, mandate international",United States of America,"English, Italian, Russian, Mandarin, French",Netflix,limitless
3535,American Psycho,7.4,9797,2000-04-13,102,English,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",55.224,/9uGHEgsiUXjCNq8wdq4r49YL8A1.jpg,"Thriller, Drama, Crime","muse productions, pressman film, lionsgate","Canada, United States of America","English, Spanish, Cantonese",Netflix,american psycho
51540,Zodiac,7.5,9597,2007-03-02,157,English,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,36.465,/6YmeO4pB7XTh8P8F960O1uA14JO.jpg,"Crime, Drama, Mystery, Thriller","paramount, phoenix pictures, warner bros. pictures",United States of America,English,Netflix,zodiac
1387,Jaws,7.659,9541,1975-06-20,124,English,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",34.492,/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,"Horror, Thriller, Adventure","zanuck/brown productions, universal pictures",United States of America,English,Netflix,jaws
46972,Night at the Museum,6.6,9538,2006-12-20,108,English,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits.",39.701,/uY9k8t2FQkMj60obnAnsPKLxHCE.jpg,"Action, Adventure, Comedy, Family, Fantasy","1492 pictures, 21 laps entertainment, 20th century fox, ingenious media, sun canada productions","United States of America, United Kingdom","English, Italian, Hebrew",Disney Plus,night at the museum
7458,Troy,7.146,9376,2004-05-13,163,English,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.",55.474,/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,"Adventure, History, War, Action","warner bros. pictures, plan b entertainment, nimar studios, radiant productions, helena productions, latina pictures","United States of America, Malta, United Kingdom",English,Netflix,troy
